,z,strike,dip,r,x,y,Cluster
44,111,309,78,64,28.70307276,33.31121591,0
45,112,327,79,64,29.07670499,17.1538455,0
46,113,329,80,64,17.33310089,17.69422684,0
47,113,352,80,64,19.2992636,23.47106581,0
48,115,354,80,64,29.35540439,24.61055471,0
49,117,356,83,64,24.69165854,34.59382255,0
50,118,356,89,65,24.91516915,30.58518824,0
0,10,13,14,0,122.7459041,150.5098425,1
1,11,58,20,1,131.1090008,155.2933204,1
2,11,84,23,1,129.4189571,143.5774108,1
3,12,94,33,4,129.6693452,154.9200682,1
4,12,102,40,4,127.1863457,159.5426081,1
5,13,135,41,4,130.6472392,154.9664312,1
6,15,210,43,7,128.3593223,146.5479751,1
7,15,217,47,8,124.3892726,149.4394462,1
8,16,238,53,9,132.2491548,147.9246458,1
9,16,290,58,9,129.1763577,153.4132733,1
10,18,296,66,10,125.1299316,145.1448047,1
11,18,321,68,10,123.542141,156.5889618,1
12,19,337,82,12,130.0277748,146.1492537,1
13,19,337,85,14,121.392502,151.3463596,1
14,19,338,88,14,123.5529978,156.5460044,1
15,20,357,89,15,124.0427452,151.0623644,1
0,22,7,8,69,118.9966797,58.77977901,2
1,26,30,13,72,137.7109736,72.97428556,2
2,28,145,19,73,124.8738869,56.97907025,2
3,28,198,31,74,118.6924787,80.48556713,2
4,29,218,52,78,118.1886697,80.10355894,2
5,35,233,52,79,137.3492577,82.48412158,2
6,36,260,64,82,111.5085038,83.68107271,2
7,40,262,68,82,111.1672821,61.73045661,2
8,42,277,72,85,109.7492122,58.50091951,2
9,42,339,76,97,106.0083214,84.92071269,2
10,46,354,89,98,115.1140172,77.55868469,2
0,140,0,0,-170,176.4292069,152.953573,3
1,140,3,1,-170,175.8466053,153.1670691,3
2,140,6,2,-170,163.0775427,177.8080052,3
3,140,8,2,-170,179.6545298,145.8247624,3
4,140,8,3,-169,160.1948928,146.8114537,3
5,140,9,3,-169,143.862272,155.7760541,3
6,140,16,3,-169,171.7691345,179.322369,3
7,140,17,6,-169,153.8696305,142.9189822,3
8,141,18,6,-168,163.177658,157.5925308,3
9,141,21,6,-168,156.3862754,163.0263025,3
10,141,21,7,-168,171.7700772,148.6584703,3
11,141,22,7,-168,144.9146477,147.5780692,3
12,141,26,7,-168,171.0665546,167.3886086,3
13,141,27,8,-168,179.7821241,156.8517593,3
14,142,27,8,-168,171.7716644,144.5374608,3
15,142,27,8,-168,161.1008694,152.4978863,3
16,142,29,9,-168,155.9308682,165.4444003,3
17,142,29,10,-167,148.239942,144.549463,3
18,142,30,10,-167,177.4034021,148.8754768,3
19,142,30,11,-167,169.6253086,155.2532477,3
20,143,32,11,-167,145.8481327,141.7155466,3
21,143,36,12,-166,167.2534764,152.7400906,3
22,143,37,12,-166,140.7678526,165.2766624,3
23,143,39,12,-166,161.0700922,145.3027665,3
24,143,43,13,-166,177.1952525,164.0739606,3
25,143,46,13,-166,164.5426451,177.1421622,3
26,143,48,14,-166,151.96153,143.3932903,3
27,143,48,14,-166,162.9227061,178.296378,3
28,143,49,14,-166,140.3174322,146.6615391,3
29,143,49,16,-166,159.8381415,170.2884049,3
30,143,50,16,-165,177.1356471,164.1905956,3
31,144,53,16,-165,146.6744765,161.6345434,3
32,144,53,17,-165,159.344693,177.0875904,3
33,144,54,18,-165,160.7140501,174.5573725,3
34,144,54,19,-165,148.3656578,151.933164,3
35,144,55,19,-164,169.3693224,170.6530851,3
36,145,56,19,-164,176.6639186,141.477936,3
37,145,57,20,-164,156.1650434,167.9276755,3
38,145,60,20,-164,171.0016392,153.0067816,3
39,145,61,20,-164,154.9493741,144.0574253,3
40,145,66,21,-163,179.0018336,171.6912207,3
41,145,67,22,-163,151.4233374,141.7041075,3
42,146,71,23,-163,171.998338,178.7579875,3
43,146,73,23,-163,172.5877973,174.6537453,3
44,146,75,23,-163,160.6344934,172.6178078,3
45,146,79,24,-163,142.1704119,178.9206554,3
46,146,82,24,-162,143.2957806,170.5009569,3
47,146,85,25,-162,179.5678178,155.9572014,3
48,146,88,25,-162,170.2616273,153.1463168,3
49,146,91,25,-162,168.8519504,166.0481556,3
50,146,92,26,-162,159.6615246,160.6253,3
51,147,93,26,-162,141.5151269,140.5802085,3
52,147,93,26,-161,156.7088326,141.7916162,3
53,147,93,27,-161,141.0062404,179.3964999,3
54,147,99,28,-161,165.5351836,140.5814521,3
55,147,101,28,-161,153.3960935,179.7479881,3
56,147,102,28,-160,148.799411,155.670327,3
57,147,103,29,-160,147.2718162,162.4329642,3
58,148,106,29,-160,163.3968534,142.8037555,3
59,148,107,29,-160,169.0094479,156.9378144,3
60,148,107,30,-160,143.7345844,161.5195324,3
61,148,108,30,-160,156.1897279,157.8035159,3
62,148,110,30,-160,171.7619696,170.1905419,3
63,148,112,31,-160,160.4850147,144.5504252,3
64,149,113,31,-159,143.7089879,148.0358995,3
65,149,116,32,-159,149.9459408,158.7615781,3
66,149,117,32,-159,154.5871938,176.2259039,3
67,149,120,33,-159,157.2597555,164.14563,3
68,149,123,33,-159,146.5292786,147.9339598,3
69,149,123,33,-158,166.4217115,174.5168547,3
70,149,123,34,-158,165.434376,179.0252455,3
71,149,123,34,-158,170.7980083,171.1007544,3
72,150,126,34,-158,168.7463523,141.2313912,3
73,150,126,35,-158,164.2984835,150.4432644,3
74,150,131,36,-157,170.7323437,144.9848055,3
75,150,132,36,-157,169.8654281,161.9184196,3
76,150,133,37,-157,160.3294583,143.8682517,3
77,150,134,38,-157,176.4751924,155.5130516,3
78,151,134,38,-157,151.4791893,168.3798738,3
79,151,135,38,-157,147.6329722,177.7686511,3
80,151,137,38,-157,146.7451357,141.6088945,3
81,151,140,40,-157,152.9143183,175.9721806,3
82,151,141,41,-157,155.8087415,175.9968664,3
83,151,141,41,-156,163.9700752,158.3625655,3
84,151,141,42,-156,171.2342211,140.4226686,3
85,151,142,42,-156,177.9134399,149.8478834,3
86,151,143,43,-156,140.6294263,159.7125144,3
87,151,143,43,-155,166.5146606,152.1403659,3
88,152,143,43,-155,175.6097644,155.0467407,3
89,152,144,43,-155,161.4128731,141.3564834,3
90,152,147,44,-155,163.226918,153.6816663,3
91,152,147,44,-155,150.83541,166.6356647,3
92,152,149,44,-154,156.667418,168.506528,3
93,152,149,45,-154,144.1500554,169.2679236,3
94,152,149,45,-154,141.3453458,158.5569369,3
95,152,154,46,-154,149.8974509,141.9423285,3
96,153,157,46,-154,155.0830765,162.4381975,3
97,153,158,47,-154,146.2691968,149.7502214,3
98,153,158,47,-154,153.1287547,168.2442877,3
99,153,159,47,-154,177.7752493,168.1753424,3
100,153,163,48,-154,160.3008484,157.8448264,3
101,154,164,48,-154,149.3130731,173.0977851,3
102,154,164,48,-153,169.4684495,168.3970369,3
103,154,169,49,-153,177.731306,164.3903783,3
104,154,171,49,-153,147.5433313,159.2289926,3
105,154,172,50,-153,168.3346875,150.6392694,3
106,154,176,50,-153,156.9266262,143.4746694,3
107,155,176,50,-152,153.0621292,149.5601198,3
108,155,177,50,-152,177.8178656,157.4778231,3
109,155,184,50,-152,173.5788848,144.2285028,3
110,155,186,51,-152,172.6889628,160.4448394,3
111,155,187,52,-152,175.449155,143.8914739,3
112,156,189,52,-152,147.491571,150.7012052,3
113,156,191,53,-151,143.7023522,141.6874135,3
114,156,191,53,-151,164.7339974,166.8536483,3
115,156,194,54,-151,178.7689274,170.511873,3
116,156,194,54,-151,158.374019,160.5922423,3
117,156,194,54,-151,157.9361742,172.1301503,3
118,157,195,54,-151,165.0745754,175.2375805,3
119,157,197,55,-151,175.2095149,177.3082573,3
120,158,197,56,-151,176.8450814,140.5633502,3
121,158,197,57,-150,163.6080842,153.5535668,3
122,158,198,57,-150,173.0609419,149.1155713,3
123,158,206,57,-150,167.0844944,160.526828,3
124,158,207,57,-150,158.9971117,147.1993135,3
125,158,209,57,-150,169.1965199,176.9963183,3
126,158,210,58,-150,170.3814177,154.2773593,3
127,159,210,59,-150,140.9269443,171.7513849,3
128,159,215,59,-150,152.9850555,157.513515,3
129,159,216,59,-150,165.7355641,167.6722805,3
130,159,216,59,-150,150.9212904,154.8672747,3
131,159,217,59,-149,179.8940428,163.6232166,3
132,159,223,60,-149,162.1505924,156.9056316,3
133,159,224,61,-148,156.2759471,169.0468502,3
134,160,227,61,-147,148.6341983,178.2179581,3
135,160,227,62,-147,140.5055374,162.4978229,3
136,160,229,62,-147,147.1215199,166.240923,3
137,160,230,63,-147,148.7003812,165.5474858,3
138,160,234,63,-147,159.284039,167.4527313,3
139,160,242,63,-147,176.010445,179.3713876,3
140,160,246,64,-146,153.0995113,160.0798483,3
141,160,246,64,-146,164.9479153,176.6297532,3
142,160,247,65,-146,163.2249747,145.7950326,3
143,161,249,65,-146,162.1441871,160.8644617,3
144,161,250,66,-146,172.1020899,175.8407468,3
145,161,253,67,-146,154.8105593,173.8350946,3
146,162,259,67,-146,140.0399414,155.7996206,3
147,162,260,68,-145,148.7701977,142.9936187,3
148,162,262,68,-145,156.6060564,179.7934142,3
149,162,263,69,-145,143.8642705,160.3232761,3
150,162,263,69,-145,167.0388608,169.9591179,3
151,162,264,69,-145,164.6907253,157.1527281,3
152,162,264,70,-145,159.6333821,165.3539622,3
153,162,268,70,-144,149.8423553,149.5417662,3
154,163,268,71,-144,149.0586883,142.0384504,3
155,163,269,71,-144,157.7626132,162.4271703,3
156,163,270,72,-144,178.7423729,178.8584203,3
157,163,272,72,-144,171.1183856,174.67859,3
158,163,276,73,-144,158.223624,145.8028887,3
159,163,285,73,-143,179.2018785,175.5428819,3
160,164,285,74,-143,165.4524944,170.0357317,3
161,164,289,74,-143,175.5553587,150.5950014,3
162,164,291,74,-143,174.8551949,178.1696885,3
163,164,291,74,-143,172.3646234,156.7600145,3
164,164,293,75,-143,172.7568065,144.1535089,3
165,164,294,75,-143,159.3806535,164.788796,3
166,165,296,75,-142,167.9606961,177.4179867,3
167,165,298,76,-142,168.6690533,166.0632322,3
168,165,302,77,-142,177.439558,177.205077,3
169,165,303,77,-142,142.0503491,145.1310012,3
170,165,314,77,-142,165.7929887,140.9056915,3
171,165,314,78,-142,157.1836938,145.7638769,3
172,165,314,78,-142,158.5625774,170.5923238,3
173,166,316,78,-141,147.7993009,151.5860145,3
174,166,316,79,-141,163.0116437,177.983621,3
175,166,316,79,-141,145.2248148,175.2375085,3
176,166,320,80,-141,177.2290512,145.1939306,3
177,166,320,80,-140,168.5206883,175.7009303,3
178,166,324,80,-140,173.3066153,179.2332658,3
179,167,324,80,-140,160.7595074,175.4242786,3
180,167,325,81,-140,162.8577705,171.2972272,3
181,167,327,81,-140,170.8602982,159.0252865,3
182,167,330,81,-139,158.4832504,169.0581547,3
183,167,333,82,-139,151.1296663,144.8391573,3
184,167,333,82,-138,171.0081444,163.2798806,3
185,167,333,82,-138,153.1789421,145.5308992,3
186,167,333,82,-138,151.2144777,170.107123,3
187,168,338,82,-138,150.1911458,146.734328,3
188,168,339,84,-138,143.6034222,173.9784381,3
189,168,340,84,-138,164.442725,165.0634475,3
190,168,341,85,-138,156.1219102,169.7020991,3
191,168,342,85,-137,174.0131187,169.0976172,3
192,168,343,86,-137,167.2171023,141.0160571,3
193,168,344,86,-137,145.1297838,163.1521303,3
194,168,344,86,-137,160.2511616,159.021109,3
195,168,345,86,-136,142.4011251,141.8963732,3
196,168,350,87,-136,171.7806075,168.7296851,3
197,169,351,88,-136,151.1271889,175.2245743,3
198,169,352,90,-136,173.449651,178.2473632,3
199,170,356,90,-135,163.6212552,162.9335107,3
200,170,357,90,-135,171.1711538,143.3524648,3
0,130,0,0,-180,28.35115947,164.1104354,4
1,130,0,1,-179,24.81126024,168.6668913,4
2,130,21,2,-179,26.75457019,172.6587972,4
3,130,22,2,-179,32.59231801,156.2219533,4
4,131,23,3,-179,20.79619597,178.2139367,4
5,131,23,3,-179,46.76543001,138.2394966,4
6,131,27,3,-179,33.42224857,157.0321812,4
7,131,28,4,-179,13.28194932,187.2570446,4
8,132,29,6,-179,26.89606445,175.3278615,4
9,133,32,6,-178,30.96245653,166.3641391,4
10,133,32,9,-178,28.59862786,167.5290143,4
11,134,41,10,-178,18.00514216,181.8939023,4
12,134,43,11,-178,33.79089071,166.9113016,4
13,134,44,11,-178,36.31153678,154.6463411,4
14,134,45,12,-178,23.16888408,177.5764626,4
15,134,45,14,-178,33.10316275,159.0025525,4
16,134,46,15,-177,43.93151509,146.3372037,4
17,135,47,15,-177,28.1596038,171.4316438,4
18,135,58,15,-177,29.87374322,172.367426,4
19,135,59,16,-177,27.09995059,175.4881618,4
20,135,59,16,-176,36.17538309,160.4481256,4
21,136,61,17,-176,38.85658513,154.7413087,4
22,136,62,19,-176,27.10686525,174.1574205,4
23,136,62,19,-176,23.09785972,170.6617121,4
24,137,63,21,-176,28.43375631,175.4941614,4
25,137,75,21,-176,43.40329622,147.6556386,4
26,137,75,21,-176,32.38418872,160.885507,4
27,137,80,22,-176,16.80654476,182.6193787,4
28,137,82,22,-176,17.68821081,183.5438754,4
29,138,83,23,-176,33.57596683,159.3376489,4
30,138,86,24,-176,13.60952724,184.8984826,4
31,138,90,24,-175,37.79871075,152.8633634,4
32,138,92,25,-175,33.66272488,160.4829063,4
33,138,93,26,-175,41.2234978,151.6555146,4
34,138,94,29,-175,22.84364564,176.526475,4
35,138,99,29,-175,35.0229078,160.167091,4
36,138,105,29,-175,35.32808266,157.2122542,4
37,139,110,30,-174,31.56957069,162.9443311,4
38,139,111,31,-174,24.15978952,171.3174778,4
39,140,112,31,-174,18.65343987,179.7009683,4
40,140,115,35,-174,31.50799328,164.3389187,4
41,140,116,35,-174,41.72702551,143.2974659,4
42,140,120,36,-173,30.75909518,171.6606448,4
43,140,120,36,-173,32.49918112,158.1675204,4
44,140,133,39,-173,20.9565308,178.0177653,4
45,141,135,40,-173,26.0197082,174.4433117,4
46,141,136,40,-173,35.83842305,162.4383925,4
47,141,140,40,-172,24.5557115,170.1113395,4
48,141,141,42,-172,30.54654361,159.3050011,4
49,142,145,42,-172,46.37795856,135.5072105,4
50,142,148,43,-171,29.88965928,169.2292961,4
51,142,150,46,-171,23.59976461,173.2861487,4
52,142,153,47,-171,30.7418288,171.4893326,4
53,142,160,48,-171,44.0511677,139.239709,4
54,142,166,49,-171,44.1432854,140.4321203,4
55,143,170,50,-171,40.37252491,147.7650263,4
56,143,178,50,-171,40.73113395,149.4330635,4
57,143,179,51,-171,12.00425799,187.4106327,4
58,143,181,51,-170,41.42423521,147.0291744,4
59,144,193,52,-170,22.65309083,179.7829705,4
60,144,194,52,-170,44.16400259,145.2123886,4
61,144,198,53,-170,35.79862888,154.079773,4
62,144,199,55,-170,45.0846818,140.1754954,4
63,144,202,56,-169,41.21294261,152.3481176,4
64,144,204,57,-169,33.32323914,159.6001766,4
65,144,207,58,-169,29.15119543,172.6821303,4
66,145,208,59,-169,26.98399735,177.1850925,4
67,145,208,60,-169,35.90093158,153.7458327,4
68,145,218,60,-169,27.2195763,167.6344423,4
69,145,220,60,-169,35.61712334,152.4442604,4
70,145,220,62,-169,40.20907731,147.869375,4
71,145,222,62,-169,29.97295838,166.2994617,4
72,146,226,63,-169,21.05585292,174.821477,4
73,146,230,63,-168,21.85799926,174.9484262,4
74,146,233,64,-168,33.84172725,156.1273983,4
75,146,233,64,-168,23.07268756,177.5874217,4
76,146,244,65,-168,29.932889,165.9389233,4
77,146,246,66,-168,21.14452533,176.2543978,4
78,146,248,66,-167,42.85534051,147.1905744,4
79,146,258,66,-167,27.66441474,163.8799924,4
80,147,261,66,-167,11.76181235,188.3765375,4
81,147,263,67,-167,38.2348012,150.4663594,4
82,147,265,68,-167,35.36573526,158.2740801,4
83,147,268,69,-167,20.69812072,180.0108892,4
84,148,277,69,-167,36.64367045,160.9772232,4
85,148,295,70,-167,19.77307186,176.8584244,4
86,148,296,72,-167,17.16051921,181.4190364,4
87,148,298,72,-167,40.19732133,146.3453313,4
88,148,307,72,-166,38.30314697,154.0548126,4
89,148,312,73,-166,31.79243168,171.3697719,4
90,148,321,75,-166,33.65624556,155.5231912,4
91,148,330,76,-166,43.41426553,144.6814461,4
92,149,332,78,-166,30.85833392,172.3506543,4
93,149,341,78,-166,32.27870512,159.1669546,4
94,149,343,80,-165,32.31429294,169.2485898,4
95,149,347,81,-165,35.68852741,162.3365641,4
96,149,349,84,-165,32.56054285,160.9850588,4
97,150,353,86,-165,46.31390117,140.9267133,4
98,150,359,86,-165,32.21903766,165.5804414,4
99,150,360,87,-165,19.55805182,177.2477648,4
100,150,360,88,-165,25.2953135,170.1639905,4
0,130,27,2,-150,89.8058337,75.96166661,5
1,131,35,4,-149,63.18957251,88.87868061,5
2,132,37,8,-147,146.66537,46.80067947,5
3,133,48,17,-146,124.110196,58.65267166,5
4,134,87,22,-145,101.4701435,69.78888218,5
5,135,109,23,-144,125.2000697,57.97951538,5
6,136,115,25,-143,45.54404933,96.81352386,5
7,137,144,29,-142,121.0963783,59.84209173,5
8,138,176,35,-135,78.14827056,81.61100497,5
9,139,184,36,-134,65.25510906,87.2476361,5
10,140,202,45,-133,140.0507012,49.63809813,5
11,141,208,48,-132,149.5992165,45.13378448,5
12,142,210,58,-131,70.46934087,84.3752622,5
13,143,220,59,-129,123.5081629,57.73790692,5
14,144,221,79,-127,64.15125322,87.93053839,5
15,145,296,81,-126,75.68625142,82.43160103,5
16,146,308,82,-125,79.42146467,79.72715316,5
17,147,328,83,-124,48.49958318,96.46891082,5
18,148,340,84,-122,127.3508462,56.63726808,5
19,149,344,87,-121,146.7704342,47.49081504,5
0,10,15,5,118,173.3300217,175.7504751,6
1,10,18,5,118,175.6914091,136.9805128,6
2,11,65,5,124,179.6979423,140.7562874,6
3,11,67,6,125,183.9642784,125.3090662,6
4,13,93,15,125,176.502725,125.9003405,6
5,16,102,24,125,177.1305435,131.6016368,6
6,16,143,35,127,183.4674513,131.9207546,6
7,17,170,38,129,182.1715796,129.0152403,6
8,18,188,41,131,170.7386284,165.492177,6
9,20,191,48,134,180.9053953,180.7714233,6
10,25,197,49,135,173.1408313,173.5489468,6
11,36,208,52,137,175.2196409,174.1015175,6
12,39,242,54,137,178.6529811,130.5840401,6
13,42,249,58,139,175.7437476,176.8151801,6
14,43,260,58,140,179.1492938,171.4376079,6
15,45,288,61,141,174.5045495,131.9708728,6
16,52,302,66,142,162.7456489,178.1373693,6
17,52,307,68,142,185.8948222,168.0190448,6
18,57,310,75,143,179.5604244,129.2734854,6
19,59,352,77,144,182.3573402,182.0529221,6
